"","idno","stfdem","cntry","SatEcon","incpart","Female","AgeResp","Unemp","Religiosity","SocTrust","LRSP","IncDec","YearsEdu","Crtsame","fairelcc","cttresa","fairelc","gvexpdc","Poverty","Inequality"
"15877",3151,3,"IT",1,0,1,23,0,3,4.66666666666667,0,2,17,3,8,10,10,10,7.07106781186548,7.07106781186548
"15878",3063,6,"IT",3,0,1,36,0,6,4,5,7,12,0,8,10,9,10,7.07106781186548,4.24264068711928
"15879",2714,8,"IT",0,1,2,46,1,8,6,0,7,20,10,10,10,10,10,2.82842712474619,2.82842712474619
"15880",2706,5,"IT",3,1,1,50,0,8,7.33333333333333,5,9,23,7,9,10,9,9,4.24264068711928,4.24264068711928
"15881",2685,4,"IT",1,0,2,45,1,9,2.66666666666667,1,2,13,0,0,10,10,10,7.07106781186548,0
"15882",2683,3,"IT",0,0,2,49,0,7,3,7,9,14,3,8,10,10,10,7.07106781186548,6.36396103067893
"15883",2652,6,"IT",4,0,1,57,0,9,4.66666666666667,7,6,13,2,2,9,9,9,4.94974746830583,4.24264068711928
"15884",2636,3,"IT",4,1,1,77,0,5,4.33333333333333,3,8,30,4,5,4,10,10,4.94974746830583,4.94974746830583
"15885",2543,2,"IT",5,0,1,62,0,9,4,5,1,18,5,8,10,9,10,2.82842712474619,0
"15886",2516,3,"IT",2,0,2,39,0,9,6.66666666666667,2,10,18,3,3,9,5,9,4.24264068711928,4.94974746830583
"15887",2515,2,"IT",0,0,2,50,1,7,5,8,1,13,3,9,10,10,10,5.65685424949238,6.36396103067893
"15888",2507,0,"IT",0,0,1,63,1,3,2,10,1,5,0,4,9,7,9,6.36396103067893,6.36396103067893
"15889",2407,7,"IT",0,1,2,77,0,10,2.33333333333333,1,2,5,0,0,8,7,10,7.07106781186548,7.07106781186548
"15890",2191,6,"IT",5,0,1,56,1,6,5.66666666666667,1,4,13,8,10,5,10,10,1.4142135623731,0
"15891",2144,8,"IT",4,0,1,35,0,7,5.66666666666667,6,3,14,5,5,10,9,9,3.53553390593274,2.12132034355964
"15892",2132,1,"IT",0,0,2,43,0,5,0.333333333333333,10,1,13,0,1,10,10,10,7.07106781186548,1.4142135623731
"15893",1910,5,"IT",6,0,1,25,1,8,6,7,9,19,3,6,10,10,10,5.65685424949238,4.94974746830583
"15894",1816,4,"IT",3,0,1,47,0,8,5.33333333333333,8,3,8,3,5,10,8,10,4.24264068711928,4.24264068711928
"15895",1785,6,"IT",0,0,1,49,0,5,2.66666666666667,7,1,9,10,3,10,8,10,0,0
"15896",1617,2,"IT",0,0,2,15,0,4,4.66666666666667,5,2,9,0,0,10,10,10,7.07106781186548,7.07106781186548
"15897",1615,0,"IT",0,0,2,77,0,5,0,5,1,0,5,5,10,10,10,3.53553390593274,3.53553390593274
"15898",1496,3,"IT",3,0,1,35,0,7,5,10,6,17,1,4,10,8,10,5.65685424949238,6.36396103067893
"15899",1462,2,"IT",0,0,2,27,0,7,2,3,6,17,2,7,10,10,10,7.07106781186548,6.36396103067893
"15900",1459,4,"IT",2,0,2,64,0,9,4.33333333333333,8,4,13,1,5,9,9,8,6.36396103067893,4.94974746830583
"15901",1457,4,"IT",4,1,2,36,0,7,5.33333333333333,2,7,16,2,10,10,10,10,7.07106781186548,7.07106781186548
"15902",1292,5,"IT",5,0,1,45,0,10,6.66666666666667,5,6,8,0,0,10,10,10,7.07106781186548,7.07106781186548
"15903",1287,8,"IT",0,0,1,42,0,5,6.66666666666667,5,4,9,0,5,4,10,3,0,0
"15904",17,6,"IT",3,0,1,25,0,7,8.33333333333333,5,5,13,0,8,10,10,10,6.36396103067893,0
"15905",1192,7,"IT",4,0,2,30,1,7,6.33333333333333,3,8,22,5,6,10,10,10,4.94974746830583,4.94974746830583
"15906",1760,3,"IT",3,0,2,25,1,3,5.66666666666667,4,2,13,3,5,10,10,10,5.65685424949238,5.65685424949238
"15907",2656,3,"IT",0,1,1,67,0,8,4,3,2,5,0,9,10,10,10,7.07106781186548,7.07106781186548
"15908",856,5,"IT",3,0,2,60,0,10,1.66666666666667,5,1,5,0,7,10,10,10,5.65685424949238,7.07106781186548
"15909",828,2,"IT",0,0,2,64,0,5,1,5,2,13,0,0,10,10,10,5.65685424949238,7.07106781186548
"15910",817,5,"IT",0,1,1,55,0,10,5.33333333333333,0,3,13,0,10,10,10,10,2.12132034355964,3.53553390593274
"15911",804,0,"IT",0,0,1,43,1,8,2,10,1,13,5,5,10,10,10,7.07106781186548,7.07106781186548
"15912",692,8,"IT",4,0,1,34,0,6,9.33333333333333,10,4,7,10,7,10,6,10,2.12132034355964,2.12132034355964
"15913",680,7,"IT",5,0,1,29,0,7,4.66666666666667,5,1,7,0,3,10,7,10,6.36396103067893,7.07106781186548
"15914",664,4,"IT",4,0,2,71,0,8,5.33333333333333,6,5,18,4,8,10,10,10,4.24264068711928,3.53553390593274
"15915",606,6,"IT",2,0,1,68,0,7,6,4,6,12,8,8,10,10,10,1.4142135623731,1.4142135623731
"15916",589,4,"IT",5,0,2,47,0,9,3.66666666666667,5,1,8,6,10,9,5,9,2.12132034355964,2.12132034355964
"15917",534,5,"IT",1,0,2,55,0,8,5.66666666666667,0,5,13,5,6,10,10,10,6.36396103067893,6.36396103067893
"15918",1073,6,"IT",4,0,1,67,0,5,4.66666666666667,9,2,7,4,7,9,8,9,3.53553390593274,3.53553390593274
"15919",429,5,"IT",3,1,2,60,0,7,5.33333333333333,0,1,8,5,3,10,10,10,3.53553390593274,3.53553390593274
"15920",279,5,"IT",5,0,2,17,0,4,5.33333333333333,7,4,11,7,2,10,10,10,3.53553390593274,2.12132034355964
"15921",242,2,"IT",4,0,1,36,0,4,1,8,4,14,2,2,5,7,7,3.53553390593274,3.53553390593274
"15922",117,2,"IT",0,0,2,49,0,8,4.33333333333333,6,9,13,2,8,10,10,10,7.07106781186548,5.65685424949238
"15923",110,6,"IT",3,0,1,46,0,5,6.66666666666667,5,3,16,0,6,10,10,10,3.53553390593274,6.36396103067893
"15924",102,4,"IT",1,0,2,33,0,6,3,4,5,18,0,0,5,5,5,3.53553390593274,3.53553390593274
"15925",95,2,"IT",0,0,1,25,0,8,1.66666666666667,5,8,15,2,4,10,8,10,7.07106781186548,7.07106781186548
"15926",2711,5,"IT",5,1,1,53,0,5,6.66666666666667,5,3,8,1,0,10,5,10,6.36396103067893,6.36396103067893
"15927",341,3,"IT",2,1,2,20,0,6,4.66666666666667,3,3,14,6,3,10,10,10,6.36396103067893,5.65685424949238
"15928",684,0,"IT",0,0,2,30,1,3,5.66666666666667,10,1,11,0,5,10,10,10,7.07106781186548,6.36396103067893
"15929",4235,4,"IT",0,0,2,62,0,8,5.33333333333333,10,6,5,0,5,10,10,10,7.07106781186548,7.07106781186548
